Id,Property building category,Property building type,Title,Built up price psf,Size built up,Valuation price,YEAR,QUARTER,NAME,Year completion,Property building category,Property building type
800039,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1055,819,864000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800042,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,404,421,170000,2004,20044,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800047,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1447,367,531000,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800050,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1455,367,534000,2018,20184,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800051,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,993,862,856000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
801276,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,567,367,208000,2007,20073,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
801278,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,986,367,362000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
801281,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,840,905,760000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
812848,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,428,367,157000,2005,20051,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
812850,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,627,367,230000,2009,20093,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
812851,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
838840,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,997,367,366000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
838841,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,945,905,855000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
838843,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1067,356,380000,2017,20174,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
849636,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,431,367,158000,2006,20062,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
849642,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1022,367,375000,2016,20162,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
849646,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,412,216,89000,2005,20051,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
447993,HIGHRISE,MEDIUM COST,RESIDENTIAL,209,623,130000,2014,20144,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
467226,HIGHRISE,MEDIUM COST,RESIDENTIAL,160,623,100000,2015,20152,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
472933,HIGHRISE,MEDIUM COST,RESIDENTIAL,257,623,160000,2015,20151,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
473093,HIGHRISE,MEDIUM COST,RESIDENTIAL,63,640,40000,1990,19903,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
473113,HIGHRISE,MEDIUM COST,RESIDENTIAL,255,568,145000,2015,20153,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
474263,HIGHRISE,MEDIUM COST,RESIDENTIAL,189,623,118000,2016,20163,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
495424,HIGHRISE,MEDIUM COST,RESIDENTIAL,329,568,187000,2016,20161,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
496978,HIGHRISE,MEDIUM COST,RESIDENTIAL,128,623,80000,2015,20151,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
499431,HIGHRISE,MEDIUM COST,RESIDENTIAL,209,623,130000,2015,20152,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
505138,HIGHRISE,MEDIUM COST,RESIDENTIAL,225,623,140000,2016,20161,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
506194,HIGHRISE,MEDIUM COST,RESIDENTIAL,241,623,150000,2016,20162,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
507019,HIGHRISE,MEDIUM COST,RESIDENTIAL,136,623,85000,2015,20154,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
522402,HIGHRISE,MEDIUM COST,RESIDENTIAL,264,568,150000,2016,20161,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
527098,HIGHRISE,MEDIUM COST,RESIDENTIAL,273,568,155000,2016,20164,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
542793,HIGHRISE,MEDIUM COST,RESIDENTIAL,81,568,46000,1986,19862,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
558186,HIGHRISE,MEDIUM COST,RESIDENTIAL,261,767,200000,2017,20173,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
558413,HIGHRISE,MEDIUM COST,RESIDENTIAL,195,767,150000,2017,20173,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
593348,HIGHRISE,MEDIUM COST,RESIDENTIAL,176,568,100000,2017,20174,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
811751,HIGHRISE,MEDIUM COST,RESIDENTIAL,241,623,150000,2018,20184,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
811837,HIGHRISE,MEDIUM COST,RESIDENTIAL,60,767,46000,1986,19862,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
837883,HIGHRISE,MEDIUM COST,RESIDENTIAL,209,623,130000,2019,20191,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
848087,HIGHRISE,MEDIUM COST,RESIDENTIAL,160,623,100000,2019,20192,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
491472,HIGHRISE,CONDO,RESIDENTIAL,916,743,680000,2014,20144,HARBOURVIEW,1994,HIGHRISE,CONDO
497369,HIGHRISE,CONDO,RESIDENTIAL,1096,730,800000,2014,20144,HARBOURVIEW,1994,HIGHRISE,CONDO
463182,HIGHRISE,CONDO,RESIDENTIAL,746,1313,980000,2015,20152,HARBOURVIEW,1994,HIGHRISE,CONDO
463184,HIGHRISE,CONDO,RESIDENTIAL,1026,1755,1800000,2015,20152,HARBOURVIEW,1994,HIGHRISE,CONDO
467650,HIGHRISE,CONDO,RESIDENTIAL,1111,743,825000,2015,20152,HARBOURVIEW,1994,HIGHRISE,CONDO
487081,HIGHRISE,CONDO,RESIDENTIAL,1101,743,818000,2015,20153,HARBOURVIEW,1994,HIGHRISE,CONDO
490735,HIGHRISE,CONDO,RESIDENTIAL,981,764,750000,2015,20151,HARBOURVIEW,1994,HIGHRISE,CONDO
498825,HIGHRISE,CONDO,RESIDENTIAL,900,1389,1250000,2015,20152,HARBOURVIEW,1994,HIGHRISE,CONDO
472124,HIGHRISE,CONDO,RESIDENTIAL,1144,743,850000,2016,20164,HARBOURVIEW,1994,HIGHRISE,CONDO
